idx,return,steps,failure
0,-9.0,12,True
1,6.0,15,False
2,9.0,12,False
3,9.0,12,False
4,15.0,6,False
5,-3.0,15,True
6,-15.0,18,True
7,-20.0,14,True
8,7.0,14,False
9,-2.0,14,True
10,-11.0,14,True
11,9.0,12,False
12,-2.0,14,True
13,-6.0,18,True
14,-21.0,15,True
15,9.0,12,False
16,6.0,15,False
17,-2.0,14,True
18,-5.0,17,True
19,-31.0,16,True
20,9.0,12,False
21,-31.0,16,True
22,-22.0,16,True
23,-9.0,12,True
24,5.0,16,False
25,-43.0,19,True
26,0.0,12,True
27,-43.0,19,True
28,8.0,13,False
29,7.0,14,False
30,11.0,10,False
31,-37.0,22,True
32,-33.0,18,True
33,-52.0,19,True
34,7.0,14,False
35,7.0,14,False
36,7.0,14,False
37,-16.0,19,True
38,6.0,15,False
39,-14.0,17,True
40,10.0,11,False
41,-25.0,19,True
42,11.0,10,False
43,-44.0,20,True
44,-6.0,18,True
45,-35.0,20,True
46,-8.0,11,True
47,-13.0,16,True
48,0.0,12,True
49,-1.0,13,True
50,-5.0,17,True
51,-23.0,17,True
52,-1.0,13,True
53,10.0,11,False
54,-12.0,15,True
55,-22.0,16,True
56,15.0,6,False
57,-61.0,19,True
58,-2.0,14,True
59,-26.0,11,True
60,-44.0,20,True
61,-3.0,15,True
62,-13.0,16,True
63,-32.0,17,True
64,10.0,11,False
65,14.0,7,False
66,-27.0,21,True
67,-56.0,23,True
68,8.0,13,False
69,-85.0,25,True
70,-21.0,15,True
71,-37.0,22,True
72,10.0,11,False
73,13.0,8,False
74,13.0,8,False
75,7.0,14,False
76,8.0,13,False
77,6.0,15,False
78,7.0,14,False
79,12.0,9,False
80,-16.0,19,True
81,-4.0,16,True
82,4.0,8,True
83,-3.0,15,True
84,-12.0,15,True
85,10.0,11,False
86,-37.0,22,True
87,-21.0,15,True
88,-7.0,10,True
89,-30.0,15,True
90,-9.0,12,True
91,-51.0,18,True
92,-7.0,10,True
93,-33.0,18,True
94,9.0,12,False
95,11.0,10,False
96,-5.0,17,True
97,-17.0,11,True
98,7.0,14,False
99,5.0,16,False
100,-10.0,13,True
101,0.0,12,True
102,11.0,10,False
103,-24.0,18,True
104,-17.0,20,True
105,12.0,9,False
106,-14.0,17,True
107,-12.0,15,True
108,-31.0,16,True
109,-25.0,19,True
110,8.0,13,False
111,8.0,13,False
112,-44.0,20,True
113,7.0,14,False
114,-30.0,15,True
115,11.0,10,False
116,7.0,14,False
117,-3.0,15,True
118,7.0,14,False
119,11.0,10,False
120,11.0,10,False
121,-1.0,13,True
122,-32.0,17,True
123,8.0,13,False
124,-2.0,14,True
125,4.0,17,False
126,-9.0,12,True
127,-20.0,14,True
128,-5.0,17,True
129,-7.0,19,True
130,8.0,13,False
131,10.0,11,False
132,1.0,11,True
133,-38.0,14,True
134,9.0,12,False
135,-23.0,17,True
136,-27.0,21,True
137,2.0,10,True
138,7.0,14,False
139,1.0,11,True
140,10.0,11,False
141,-22.0,16,True
142,8.0,13,False
143,-2.0,14,True
144,4.0,8,True
145,15.0,6,False
146,-14.0,17,True
147,9.0,12,False
148,-20.0,14,True
149,6.0,15,False
150,9.0,12,False
151,-46.0,22,True
152,-65.0,23,True
153,8.0,13,False
154,-13.0,16,True
155,-46.0,22,True
156,-13.0,16,True
157,-6.0,18,True
158,11.0,10,False
159,10.0,11,False
160,7.0,14,False
161,12.0,9,False
162,-12.0,15,True
163,2.0,10,True
164,10.0,11,False
165,7.0,14,False
166,4.0,17,False
167,12.0,9,False
168,-24.0,18,True
169,-36.0,21,True
170,-24.0,18,True
171,5.0,16,False
172,0.0,12,True
173,7.0,14,False
174,-11.0,14,True
175,0.0,12,True
176,-5.0,17,True
177,-7.0,19,True
178,10.0,11,False
179,-2.0,14,True
180,7.0,14,False
181,-14.0,17,True
182,3.0,9,True
183,-33.0,18,True
184,12.0,9,False
185,-3.0,15,True
186,-5.0,17,True
187,10.0,11,False
188,-10.0,13,True
189,8.0,13,False
190,-2.0,14,True
191,8.0,13,False
192,8.0,13,False
193,6.0,15,False
194,-4.0,16,True
195,-2.0,14,True
196,10.0,11,False
197,10.0,11,False
198,8.0,13,False
199,-23.0,17,True
200,-10.0,13,True
201,5.0,16,False
202,-16.0,19,True
203,-16.0,19,True
204,-2.0,14,True
205,7.0,14,False
206,8.0,13,False
207,2.0,10,True
208,10.0,11,False
209,-26.0,20,True
210,6.0,15,False
211,2.0,10,True
212,5.0,16,False
213,-9.0,12,True
214,-41.0,17,True
215,9.0,12,False
216,-2.0,14,True
217,6.0,15,False
218,-23.0,17,True
219,7.0,14,False
220,-22.0,16,True
221,11.0,10,False
222,4.0,17,False
223,7.0,14,False
224,2.0,10,True
225,8.0,13,False
226,-25.0,19,True
227,-13.0,16,True
228,9.0,12,False
229,-3.0,15,True
230,-26.0,20,True
231,-28.0,13,True
232,10.0,11,False
233,-20.0,14,True
234,-29.0,14,True
235,-31.0,16,True
236,-52.0,19,True
237,-35.0,20,True
238,9.0,12,False
239,12.0,9,False
240,-1.0,13,True
241,-19.0,13,True
242,11.0,10,False
243,7.0,14,False
244,-36.0,21,True
245,9.0,12,False
246,-3.0,15,True
247,-4.0,16,True
248,-45.0,21,True
249,-72.0,21,True
250,-21.0,15,True
251,6.0,15,False
252,-23.0,17,True
253,-11.0,14,True
254,-1.0,13,True
255,-15.0,18,True
256,-3.0,15,True
257,8.0,13,False
258,-3.0,15,True
259,-13.0,16,True
260,-34.0,19,True
261,9.0,12,False
262,5.0,16,False
263,7.0,14,False
264,7.0,14,False
265,-4.0,16,True
266,7.0,14,False
267,-64.0,22,True
268,-41.0,17,True
269,1.0,11,True
270,-23.0,17,True
271,-2.0,14,True
272,-18.0,12,True
273,-1.0,13,True
274,9.0,12,False
275,7.0,14,False
276,9.0,12,False
277,-13.0,16,True
278,-13.0,16,True
279,-13.0,16,True
280,5.0,16,False
281,5.0,16,False
282,10.0,11,False
283,-5.0,17,True
284,0.0,12,True
285,-15.0,18,True
286,-13.0,16,True
287,14.0,7,False
288,-5.0,17,True
289,-10.0,13,True
290,-5.0,17,True
291,-1.0,13,True
292,-5.0,17,True
293,-23.0,17,True
294,2.0,10,True
295,-25.0,19,True
296,-9.0,12,True
297,5.0,16,False
298,-6.0,18,True
299,7.0,14,False
300,-14.0,17,True
301,3.0,18,False
302,3.0,9,True
303,-20.0,14,True
304,-23.0,17,True
305,-47.0,23,True
306,9.0,12,False
307,7.0,14,False
308,-34.0,19,True
309,-22.0,16,True
310,5.0,16,False
311,-32.0,17,True
312,3.0,18,False
313,-63.0,21,True
314,-22.0,16,True
315,10.0,11,False
316,7.0,14,False
317,8.0,13,False
318,10.0,11,False
319,-43.0,19,True
320,12.0,9,False
321,-16.0,19,True
322,-42.0,18,True
323,-4.0,16,True
324,7.0,14,False
325,6.0,15,False
326,-33.0,18,True
327,-3.0,15,True
328,12.0,9,False
329,-3.0,15,True
330,-2.0,14,True
331,12.0,9,False
332,8.0,13,False
333,13.0,8,False
334,-37.0,13,True
335,-6.0,18,True
336,10.0,11,False
337,-1.0,13,True
338,4.0,17,False
339,-16.0,19,True
340,-7.0,19,True
341,7.0,14,False
342,3.0,18,False
343,-5.0,17,True
344,10.0,11,False
345,-7.0,19,True
346,11.0,10,False
347,-13.0,16,True
348,-36.0,21,True
349,9.0,12,False
350,10.0,11,False
351,-13.0,16,True
352,-25.0,19,True
353,-34.0,19,True
354,-45.0,21,True
355,12.0,9,False
356,2.0,10,True
357,-37.0,22,True
358,-3.0,15,True
359,-21.0,15,True
360,-2.0,14,True
361,-34.0,19,True
362,-3.0,15,True
363,-21.0,15,True
364,-4.0,16,True
365,8.0,13,False
366,8.0,13,False
367,8.0,13,False
368,6.0,15,False
369,6.0,15,False
370,9.0,12,False
371,6.0,15,False
372,12.0,9,False
373,-5.0,17,True
374,-4.0,16,True
375,10.0,11,False
376,-27.0,21,True
377,-3.0,15,True
378,9.0,12,False
379,-23.0,17,True
380,7.0,14,False
381,-4.0,16,True
382,9.0,12,False
383,2.0,10,True
384,-7.0,19,True
385,9.0,12,False
386,10.0,11,False
387,8.0,13,False
388,7.0,14,False
389,10.0,11,False
390,10.0,11,False
391,7.0,14,False
392,-13.0,16,True
393,-7.0,19,True
394,6.0,15,False
395,8.0,13,False
396,-13.0,16,True
397,9.0,12,False
398,5.0,16,False
399,-16.0,19,True
400,5.0,16,False
401,-2.0,14,True
402,-18.0,12,True
403,8.0,13,False
404,-1.0,13,True
405,10.0,11,False
406,-7.0,10,True
407,1.0,11,True
408,-12.0,15,True
409,5.0,16,False
410,-23.0,17,True
411,0.0,12,True
412,9.0,12,False
413,1.0,11,True
414,8.0,13,False
415,7.0,14,False
416,10.0,11,False
417,13.0,8,False
418,6.0,15,False
419,-50.0,17,True
420,-12.0,15,True
421,-2.0,14,True
422,8.0,13,False
423,-5.0,17,True
424,-20.0,14,True
425,-3.0,15,True
426,-35.0,20,True
427,5.0,16,False
428,-14.0,17,True
429,-2.0,14,True
430,-3.0,15,True
431,-11.0,14,True
432,9.0,12,False
433,5.0,16,False
434,6.0,15,False
435,-4.0,16,True
436,5.0,16,False
437,-13.0,16,True
438,-4.0,16,True
439,-36.0,21,True
440,11.0,10,False
441,7.0,14,False
442,10.0,11,False
443,-11.0,14,True
444,-1.0,13,True
445,-13.0,16,True
446,-2.0,14,True
447,6.0,15,False
448,-43.0,19,True
449,-1.0,13,True
450,-25.0,19,True
451,-2.0,14,True
452,-11.0,14,True
453,-2.0,14,True
454,-10.0,13,True
455,13.0,8,False
456,9.0,12,False
457,14.0,7,False
458,9.0,12,False
459,-36.0,21,True
460,2.0,10,True
461,13.0,8,False
462,1.0,11,True
463,-56.0,23,True
464,11.0,10,False
465,-5.0,17,True
466,-29.0,14,True
467,14.0,7,False
468,-1.0,13,True
469,-15.0,18,True
470,-22.0,16,True
471,10.0,11,False
472,8.0,13,False
473,-11.0,14,True
474,8.0,13,False
475,-21.0,15,True
476,-4.0,16,True
477,9.0,12,False
478,2.0,10,True
479,9.0,12,False
480,-4.0,16,True
481,-12.0,15,True
482,-25.0,19,True
483,7.0,14,False
484,11.0,10,False
485,-13.0,16,True
486,9.0,12,False
487,-24.0,18,True
488,5.0,16,False
489,-2.0,14,True
490,11.0,10,False
491,11.0,10,False
492,9.0,12,False
493,2.0,10,True
494,11.0,10,False
495,-15.0,18,True
496,-20.0,14,True
497,-14.0,17,True
498,-13.0,16,True
499,-21.0,15,True
500,-10.0,13,True
501,1.0,11,True
502,-3.0,15,True
503,-3.0,15,True
504,-13.0,16,True
505,-15.0,18,True
506,11.0,10,False
507,12.0,9,False
508,-12.0,15,True
509,7.0,14,False
510,-2.0,14,True
511,-18.0,12,True
512,-36.0,21,True
513,-5.0,17,True
514,9.0,12,False
515,8.0,13,False
516,0.0,12,True
517,-15.0,18,True
518,-67.0,25,True
519,0.0,12,True
520,10.0,11,False
521,-24.0,18,True
522,-14.0,17,True
523,6.0,15,False
524,5.0,16,False
525,-24.0,18,True
526,-36.0,21,True
527,-31.0,16,True
528,12.0,9,False
529,-22.0,16,True
530,-12.0,15,True
531,6.0,15,False
532,-12.0,15,True
533,6.0,15,False
534,-3.0,15,True
535,5.0,16,False
536,-16.0,10,True
537,5.0,16,False
538,9.0,12,False
539,8.0,13,False
540,10.0,11,False
541,-2.0,14,True
542,13.0,8,False
543,-13.0,16,True
544,7.0,14,False
545,0.0,12,True
546,4.0,17,False
547,-12.0,15,True
548,9.0,12,False
549,9.0,12,False
550,11.0,10,False
551,-13.0,16,True
552,6.0,15,False
553,-15.0,18,True
554,-41.0,17,True
555,-5.0,17,True
556,-4.0,16,True
557,2.0,10,True
558,-3.0,15,True
559,8.0,13,False
560,-2.0,14,True
561,-14.0,17,True
562,10.0,11,False
563,-14.0,17,True
564,10.0,11,False
565,-2.0,14,True
566,-26.0,11,True
567,-37.0,22,True
568,12.0,9,False
569,-12.0,15,True
570,-10.0,13,True
571,-15.0,18,True
572,7.0,14,False
573,-16.0,19,True
574,12.0,9,False
575,4.0,17,False
576,8.0,13,False
577,-73.0,22,True
578,7.0,14,False
579,-30.0,15,True
580,-44.0,20,True
581,-9.0,12,True
582,-25.0,19,True
583,9.0,12,False
584,-25.0,19,True
585,-13.0,16,True
586,-1.0,13,True
587,-32.0,17,True
588,6.0,15,False
589,-7.0,10,True
590,6.0,15,False
591,1.0,11,True
592,8.0,13,False
593,-2.0,14,True
594,-24.0,18,True
595,7.0,14,False
596,-12.0,15,True
